Drug1,Drug2,Cell line,ZIP,classification
SCHEMBL14184849,L-778123,HCT116_LARGE_INTESTINE,-8.56,antagonism
SCHEMBL14184849,L-778123,HCT116_LARGE_INTESTINE,-11.61,antagonism
SCHEMBL14184849,L-778123,HCT116_LARGE_INTESTINE,-6.61,antagonism
SCHEMBL14184849,L-778123,HCT116_LARGE_INTESTINE,-7.27,antagonism
SCHEMBL14184849,PD 0325901,HCT116_LARGE_INTESTINE,-7.54,antagonism
SCHEMBL14184849,PD 0325901,HCT116_LARGE_INTESTINE,-10.74,antagonism
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,-5.91,antagonism
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,-8.62,antagonism
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,-8.33,antagonism
niraparib,NVP-BEZ235,HCT116_LARGE_INTESTINE,6.77,synergy
niraparib,MK-2206 dihydrochloride,HCT116_LARGE_INTESTINE,6.95,synergy
niraparib,Y0217,HCT116_LARGE_INTESTINE,9.8,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,11.06,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,10.56,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,16.19,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,15.36,synergy
MK-5108,veliparib,HCT116_LARGE_INTESTINE,7.31,synergy
MK-5108,veliparib,HCT116_LARGE_INTESTINE,7.14,synergy
MK-5108,NVP-BEZ235,HCT116_LARGE_INTESTINE,6.08,synergy
MK-5108,NVP-BEZ235,HCT116_LARGE_INTESTINE,6.95,synergy
MK-5108,NVP-BEZ235,HCT116_LARGE_INTESTINE,6.94,synergy
MK-5108,MK-2206 dihydrochloride,HCT116_LARGE_INTESTINE,7.68,synergy
MK-5108,MK-2206 dihydrochloride,HCT116_LARGE_INTESTINE,5.2,synergy
MK-5108,MK-2206 dihydrochloride,HCT116_LARGE_INTESTINE,6.88,synergy
MK-5108,MK-2206 dihydrochloride,HCT116_LARGE_INTESTINE,6.99,synergy
MK-5108,niraparib,HCT116_LARGE_INTESTINE,7.22,synergy
MK-5108,PD 0325901,HCT116_LARGE_INTESTINE,9.52,synergy
MK-5108,PD 0325901,HCT116_LARGE_INTESTINE,9.08,synergy
MK-5108,PD 0325901,HCT116_LARGE_INTESTINE,8.61,synergy
MK-5108,PD 0325901,HCT116_LARGE_INTESTINE,10.5,synergy
ridaforolimus,NVP-BEZ235,HCT116_LARGE_INTESTINE,6.34,synergy
ridaforolimus,NVP-BEZ235,HCT116_LARGE_INTESTINE,7.84,synergy
ridaforolimus,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,-5.88,antagonism
ridaforolimus,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,-7.56,antagonism
CHEMBL196215,MK-1775,HCT116_LARGE_INTESTINE,8.53,synergy
CHEMBL196215,NVP-BEZ235,HCT116_LARGE_INTESTINE,-6.23,antagonism
CHEMBL196215,L-778123,HCT116_LARGE_INTESTINE,-6.07,antagonism
CHEMBL196215,L-778123,HCT116_LARGE_INTESTINE,-7.02,antagonism
CHEMBL196215,L-778123,HCT116_LARGE_INTESTINE,-6.97,antagonism
CHEMBL196215,L-778123,HCT116_LARGE_INTESTINE,-5.42,antagonism
CHEMBL196215,MK-2206 dihydrochloride,HCT116_LARGE_INTESTINE,5.06,synergy
CHEMBL196215,MK-2206 dihydrochloride,HCT116_LARGE_INTESTINE,8.93,synergy
CHEMBL196215,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,5.04,synergy
PD 0325901,veliparib,HCT116_LARGE_INTESTINE,-6.85,antagonism
PD 0325901,veliparib,HCT116_LARGE_INTESTINE,-6.51,antagonism
PD 0325901,NVP-BEZ235,HCT116_LARGE_INTESTINE,6.54,synergy
PD 0325901,NVP-BEZ235,HCT116_LARGE_INTESTINE,6.02,synergy
PD 0325901,NVP-BEZ235,HCT116_LARGE_INTESTINE,12,synergy
PD 0325901,NVP-BEZ235,HCT116_LARGE_INTESTINE,12.56,synergy
PD 0325901,Y0217,HCT116_LARGE_INTESTINE,-6.18,antagonism
PD 0325901,Y0217,HCT116_LARGE_INTESTINE,-5.65,antagonism
PD 0325901,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,-12.66,antagonism
PD 0325901,7-ethyl-10-hydroxycamptothecin,HCT116_LARGE_INTESTINE,-6.9,antagonism
7-ethyl-10-hydroxycamptothecin,Y0217,HCT116_LARGE_INTESTINE,-6.54,antagonism
7-ethyl-10-hydroxycamptothecin,Y0217,HCT116_LARGE_INTESTINE,-5.86,antagonism
7-ethyl-10-hydroxycamptothecin,Y0217,HCT116_LARGE_INTESTINE,-5.36,antagonism
5-fluorouracil,veliparib,HT144_SKIN,-6.13,antagonism
5-fluorouracil,veliparib,HT144_SKIN,-7.68,antagonism
5-fluorouracil,veliparib,HT144_SKIN,-5.34,antagonism
5-fluorouracil,MK-1775,HT144_SKIN,-6.48,antagonism
5-fluorouracil,L-778123,HT144_SKIN,-11.12,antagonism
5-fluorouracil,L-778123,HT144_SKIN,-11.46,antagonism
5-fluorouracil,L-778123,HT144_SKIN,-9.99,antagonism
5-fluorouracil,MK-2206 dihydrochloride,HT144_SKIN,-10.41,antagonism
5-fluorouracil,MK-2206 dihydrochloride,HT144_SKIN,-5.22,antagonism
5-fluorouracil,MK-2206 dihydrochloride,HT144_SKIN,-9.11,antagonism
5-fluorouracil,MK-2206 dihydrochloride,HT144_SKIN,-5.26,antagonism
5-fluorouracil,niraparib,HT144_SKIN,-9.13,antagonism
5-fluorouracil,niraparib,HT144_SKIN,-9.36,antagonism
5-fluorouracil,niraparib,HT144_SKIN,-7.13,antagonism
5-fluorouracil,niraparib,HT144_SKIN,-5.72,antagonism
5-fluorouracil,MK-5108,HT144_SKIN,-10.76,antagonism
5-fluorouracil,MK-5108,HT144_SKIN,-9.59,antagonism
5-fluorouracil,MK-5108,HT144_SKIN,-7.18,antagonism
5-fluorouracil,MK-5108,HT144_SKIN,-8.96,antagonism
5-fluorouracil,ridaforolimus,HT144_SKIN,-9.92,antagonism
5-fluorouracil,ridaforolimus,HT144_SKIN,-10.24,antagonism
5-fluorouracil,ridaforolimus,HT144_SKIN,-8.65,antagonism
5-fluorouracil,ridaforolimus,HT144_SKIN,-5.8,antagonism
5-fluorouracil,Y0217,HT144_SKIN,-10.36,antagonism
5-fluorouracil,Y0217,HT144_SKIN,-6.86,antagonism
5-fluorouracil,Y0217,HT144_SKIN,-7.66,antagonism
5-fluorouracil,Y0217,HT144_SKIN,-7.72,antagonism
5-fluorouracil,PD 0325901,HT144_SKIN,-5.68,antagonism
veliparib,NVP-BEZ235,HT144_SKIN,8.34,synergy
veliparib,NVP-BEZ235,HT144_SKIN,8.74,synergy
veliparib,ridaforolimus,HT144_SKIN,-5.08,antagonism
veliparib,Y0217,HT144_SKIN,-9.56,antagonism
veliparib,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-7.62,antagonism
MK-1775,veliparib,HT144_SKIN,-6.57,antagonism
MK-1775,NVP-BEZ235,HT144_SKIN,12.08,synergy
MK-1775,NVP-BEZ235,HT144_SKIN,13.8,synergy
MK-1775,NVP-BEZ235,HT144_SKIN,9.25,synergy
MK-1775,NVP-BEZ235,HT144_SKIN,9,synergy
MK-1775,MK-2206 dihydrochloride,HT144_SKIN,-7.78,antagonism
MK-1775,niraparib,HT144_SKIN,-5.07,antagonism
MK-1775,MK-5108,HT144_SKIN,-7.56,antagonism
MK-1775,MK-5108,HT144_SKIN,8.66,synergy
MK-1775,MK-5108,HT144_SKIN,-5.49,antagonism
MK-1775,ridaforolimus,HT144_SKIN,6.63,synergy
MK-1775,ridaforolimus,HT144_SKIN,6.58,synergy
MK-1775,Y0217,HT144_SKIN,11.58,synergy
MK-1775,Y0217,HT144_SKIN,25.53,synergy
MK-1775,Y0217,HT144_SKIN,14.83,synergy
MK-1775,Y0217,HT144_SKIN,21.28,synergy
MK-1775,PD 0325901,HT144_SKIN,7.04,synergy
MK-1775,PD 0325901,HT144_SKIN,6.46,synergy
MK-1775,PD 0325901,HT144_SKIN,6.42,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-9.29,antagonism
NVP-BEZ235,Y0217,HT144_SKIN,-19.52,antagonism
NVP-BEZ235,Y0217,HT144_SKIN,-18.89,antagonism
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,6.57,synergy
L-778123,veliparib,HT144_SKIN,-11.08,antagonism
L-778123,veliparib,HT144_SKIN,-6.53,antagonism
L-778123,MK-1775,HT144_SKIN,8.2,synergy
L-778123,MK-1775,HT144_SKIN,8.61,synergy
L-778123,MK-1775,HT144_SKIN,8.6,synergy
L-778123,NVP-BEZ235,HT144_SKIN,5.94,synergy
L-778123,NVP-BEZ235,HT144_SKIN,10.27,synergy
L-778123,NVP-BEZ235,HT144_SKIN,11.69,synergy
L-778123,MK-2206 dihydrochloride,HT144_SKIN,-7.74,antagonism
L-778123,niraparib,HT144_SKIN,-15.64,antagonism
L-778123,MK-5108,HT144_SKIN,-6.34,antagonism
L-778123,MK-5108,HT144_SKIN,-5.46,antagonism
L-778123,ridaforolimus,HT144_SKIN,6.85,synergy
L-778123,ridaforolimus,HT144_SKIN,8.61,synergy
L-778123,ridaforolimus,HT144_SKIN,6.94,synergy
L-778123,ridaforolimus,HT144_SKIN,6.4,synergy
L-778123,Y0217,HT144_SKIN,-17.56,antagonism
L-778123,PD 0325901,HT144_SKIN,5.79,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-6.57,antagonism
L-778123,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-6.83,antagonism
L-778123,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-10.86,antagonism
MK-2206 dihydrochloride,ridaforolimus,HT144_SKIN,7.75,synergy
SCHEMBL14184849,5-fluorouracil,HT144_SKIN,-5.32,antagonism
SCHEMBL14184849,5-fluorouracil,HT144_SKIN,-8.29,antagonism
SCHEMBL14184849,5-fluorouracil,HT144_SKIN,-8.07,antagonism
SCHEMBL14184849,5-fluorouracil,HT144_SKIN,-6.04,antagonism
SCHEMBL14184849,MK-1775,HT144_SKIN,-7,antagonism
SCHEMBL14184849,MK-1775,HT144_SKIN,-5.36,antagonism
SCHEMBL14184849,NVP-BEZ235,HT144_SKIN,8.78,synergy
SCHEMBL14184849,L-778123,HT144_SKIN,-5.89,antagonism
SCHEMBL14184849,L-778123,HT144_SKIN,-7.15,antagonism
SCHEMBL14184849,L-778123,HT144_SKIN,-5.09,antagonism
SCHEMBL14184849,L-778123,HT144_SKIN,-10.55,antagonism
SCHEMBL14184849,MK-2206 dihydrochloride,HT144_SKIN,-5.46,antagonism
SCHEMBL14184849,niraparib,HT144_SKIN,-6.27,antagonism
SCHEMBL14184849,MK-5108,HT144_SKIN,-5.7,antagonism
SCHEMBL14184849,ridaforolimus,HT144_SKIN,-5.8,antagonism
SCHEMBL14184849,ridaforolimus,HT144_SKIN,-5.19,antagonism
SCHEMBL14184849,Y0217,HT144_SKIN,-7.38,antagonism
SCHEMBL14184849,Y0217,HT144_SKIN,-5.41,antagonism
SCHEMBL14184849,Y0217,HT144_SKIN,-5.3,antagonism
SCHEMBL14184849,Y0217,HT144_SKIN,-5.4,antagonism
SCHEMBL14184849,CHEMBL196215,HT144_SKIN,-5.93,antagonism
SCHEMBL14184849,CHEMBL196215,HT144_SKIN,-7.23,antagonism
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-8.54,antagonism
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-8.38,antagonism
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-8.68,antagonism
niraparib,veliparib,HT144_SKIN,-5.56,antagonism
niraparib,veliparib,HT144_SKIN,-5.02,antagonism
niraparib,NVP-BEZ235,HT144_SKIN,9.76,synergy
niraparib,MK-2206 dihydrochloride,HT144_SKIN,-8.38,antagonism
niraparib,MK-2206 dihydrochloride,HT144_SKIN,-5.71,antagonism
niraparib,MK-2206 dihydrochloride,HT144_SKIN,-6.46,antagonism
niraparib,ridaforolimus,HT144_SKIN,-7.78,antagonism
niraparib,ridaforolimus,HT144_SKIN,-8.81,antagonism
niraparib,Y0217,HT144_SKIN,-8.92,antagonism
niraparib,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-11.01,antagonism
niraparib,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-11.49,antagonism
MK-5108,veliparib,HT144_SKIN,6.07,synergy
MK-5108,MK-2206 dihydrochloride,HT144_SKIN,-8.08,antagonism
MK-5108,MK-2206 dihydrochloride,HT144_SKIN,-7.05,antagonism
MK-5108,MK-2206 dihydrochloride,HT144_SKIN,-7.99,antagonism
MK-5108,MK-2206 dihydrochloride,HT144_SKIN,-5.75,antagonism
MK-5108,niraparib,HT144_SKIN,-9.02,antagonism
MK-5108,niraparib,HT144_SKIN,-6.69,antagonism
MK-5108,niraparib,HT144_SKIN,-7.34,antagonism
MK-5108,ridaforolimus,HT144_SKIN,-8.63,antagonism
MK-5108,ridaforolimus,HT144_SKIN,-8.36,antagonism
MK-5108,ridaforolimus,HT144_SKIN,-7.96,antagonism
MK-5108,ridaforolimus,HT144_SKIN,-6.38,antagonism
MK-5108,Y0217,HT144_SKIN,-7.45,antagonism
MK-5108,Y0217,HT144_SKIN,-8.62,antagonism
MK-5108,Y0217,HT144_SKIN,-7.01,antagonism
MK-5108,Y0217,HT144_SKIN,-10.22,antagonism
MK-5108,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-11.08,antagonism
MK-5108,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-6.91,antagonism
MK-5108,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-8.59,antagonism
ridaforolimus,NVP-BEZ235,HT144_SKIN,15.69,synergy
ridaforolimus,NVP-BEZ235,HT144_SKIN,14.51,synergy
ridaforolimus,NVP-BEZ235,HT144_SKIN,18.71,synergy
ridaforolimus,NVP-BEZ235,HT144_SKIN,16.2,synergy
ridaforolimus,Y0217,HT144_SKIN,7.76,synergy
ridaforolimus,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-6.34,antagonism
ridaforolimus,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-6.22,antagonism
CHEMBL196215,5-fluorouracil,HT144_SKIN,-9.33,antagonism
CHEMBL196215,5-fluorouracil,HT144_SKIN,-11.68,antagonism
CHEMBL196215,5-fluorouracil,HT144_SKIN,-6.96,antagonism
CHEMBL196215,5-fluorouracil,HT144_SKIN,-11.89,antagonism
CHEMBL196215,veliparib,HT144_SKIN,-5.59,antagonism
CHEMBL196215,veliparib,HT144_SKIN,-6.56,antagonism
CHEMBL196215,veliparib,HT144_SKIN,5.5,synergy
CHEMBL196215,veliparib,HT144_SKIN,-5.36,antagonism
CHEMBL196215,MK-1775,HT144_SKIN,-7.64,antagonism
CHEMBL196215,MK-1775,HT144_SKIN,-10.31,antagonism
CHEMBL196215,MK-1775,HT144_SKIN,-7.54,antagonism
CHEMBL196215,MK-1775,HT144_SKIN,-7.51,antagonism
CHEMBL196215,L-778123,HT144_SKIN,-8.82,antagonism
CHEMBL196215,L-778123,HT144_SKIN,-8.95,antagonism
CHEMBL196215,MK-2206 dihydrochloride,HT144_SKIN,-8.3,antagonism
CHEMBL196215,MK-2206 dihydrochloride,HT144_SKIN,-6.96,antagonism
CHEMBL196215,MK-2206 dihydrochloride,HT144_SKIN,-5.72,antagonism
CHEMBL196215,niraparib,HT144_SKIN,-10.29,antagonism
CHEMBL196215,niraparib,HT144_SKIN,-7.19,antagonism
CHEMBL196215,niraparib,HT144_SKIN,-9.53,antagonism
CHEMBL196215,MK-5108,HT144_SKIN,-9.27,antagonism
CHEMBL196215,MK-5108,HT144_SKIN,-9.84,antagonism
CHEMBL196215,MK-5108,HT144_SKIN,-8.93,antagonism
CHEMBL196215,MK-5108,HT144_SKIN,-9.82,antagonism
CHEMBL196215,ridaforolimus,HT144_SKIN,-9.05,antagonism
CHEMBL196215,ridaforolimus,HT144_SKIN,-9.84,antagonism
CHEMBL196215,ridaforolimus,HT144_SKIN,-8.28,antagonism
CHEMBL196215,ridaforolimus,HT144_SKIN,-5.6,antagonism
CHEMBL196215,Y0217,HT144_SKIN,-10.33,antagonism
CHEMBL196215,Y0217,HT144_SKIN,-10.42,antagonism
CHEMBL196215,Y0217,HT144_SKIN,-11.83,antagonism
CHEMBL196215,Y0217,HT144_SKIN,-7.55,antagonism
CHEMBL196215,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-12.18,antagonism
CHEMBL196215,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-10.63,antagonism
CHEMBL196215,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-5.7,antagonism
CHEMBL196215,7-ethyl-10-hydroxycamptothecin,HT144_SKIN,-9.92,antagonism
PD 0325901,NVP-BEZ235,HT144_SKIN,5.77,synergy
PD 0325901,Y0217,HT144_SKIN,-24.31,antagonism
PD 0325901,Y0217,HT144_SKIN,-24.04,antagonism
7-ethyl-10-hydroxycamptothecin,Y0217,HT144_SKIN,-8.56,antagonism
7-ethyl-10-hydroxycamptothecin,Y0217,HT144_SKIN,-5.74,antagonism
7-ethyl-10-hydroxycamptothecin,Y0217,HT144_SKIN,-6.27,antagonism
5-fluorouracil,veliparib,HT29_LARGE_INTESTINE,7.45,synergy
5-fluorouracil,veliparib,HT29_LARGE_INTESTINE,10.57,synergy
5-fluorouracil,veliparib,HT29_LARGE_INTESTINE,17.69,synergy
5-fluorouracil,veliparib,HT29_LARGE_INTESTINE,12.66,synergy
5-fluorouracil,MK-1775,HT29_LARGE_INTESTINE,5.51,synergy
5-fluorouracil,MK-1775,HT29_LARGE_INTESTINE,9.54,synergy
5-fluorouracil,MK-1775,HT29_LARGE_INTESTINE,11.7,synergy
5-fluorouracil,NVP-BEZ235,HT29_LARGE_INTESTINE,6.48,synergy
5-fluorouracil,L-778123,HT29_LARGE_INTESTINE,5.42,synergy
5-fluorouracil,L-778123,HT29_LARGE_INTESTINE,7.63,synergy
5-fluorouracil,L-778123,HT29_LARGE_INTESTINE,11.25,synergy
5-fluorouracil,L-778123,HT29_LARGE_INTESTINE,8.7,synergy
5-fluorouracil,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,6.07,synergy
5-fluorouracil,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,6.54,synergy
5-fluorouracil,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,10.29,synergy
5-fluorouracil,niraparib,HT29_LARGE_INTESTINE,6.62,synergy
5-fluorouracil,niraparib,HT29_LARGE_INTESTINE,5.08,synergy
5-fluorouracil,niraparib,HT29_LARGE_INTESTINE,13.07,synergy
5-fluorouracil,niraparib,HT29_LARGE_INTESTINE,8.58,synergy
5-fluorouracil,MK-5108,HT29_LARGE_INTESTINE,6.91,synergy
5-fluorouracil,MK-5108,HT29_LARGE_INTESTINE,9.78,synergy
5-fluorouracil,MK-5108,HT29_LARGE_INTESTINE,7.51,synergy
5-fluorouracil,MK-5108,HT29_LARGE_INTESTINE,17.74,synergy
5-fluorouracil,ridaforolimus,HT29_LARGE_INTESTINE,5.65,synergy
5-fluorouracil,ridaforolimus,HT29_LARGE_INTESTINE,8.22,synergy
5-fluorouracil,Y0217,HT29_LARGE_INTESTINE,6.42,synergy
5-fluorouracil,Y0217,HT29_LARGE_INTESTINE,6.85,synergy
veliparib,NVP-BEZ235,HT29_LARGE_INTESTINE,11.88,synergy
veliparib,NVP-BEZ235,HT29_LARGE_INTESTINE,7.26,synergy
veliparib,NVP-BEZ235,HT29_LARGE_INTESTINE,16.69,synergy
veliparib,NVP-BEZ235,HT29_LARGE_INTESTINE,11.27,synergy
veliparib,ridaforolimus,HT29_LARGE_INTESTINE,-6.56,antagonism
veliparib,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,9.05,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,9.62,synergy
MK-1775,veliparib,HT29_LARGE_INTESTINE,5.07,synergy
MK-1775,NVP-BEZ235,HT29_LARGE_INTESTINE,14.99,synergy
MK-1775,NVP-BEZ235,HT29_LARGE_INTESTINE,16.22,synergy
MK-1775,NVP-BEZ235,HT29_LARGE_INTESTINE,13.54,synergy
MK-1775,NVP-BEZ235,HT29_LARGE_INTESTINE,12.2,synergy
MK-1775,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,7.02,synergy
MK-1775,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,6.45,synergy
MK-1775,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,6.15,synergy
MK-1775,niraparib,HT29_LARGE_INTESTINE,9.43,synergy
MK-1775,niraparib,HT29_LARGE_INTESTINE,11.56,synergy
MK-1775,niraparib,HT29_LARGE_INTESTINE,11.21,synergy
MK-1775,niraparib,HT29_LARGE_INTESTINE,14.22,synergy
MK-1775,ridaforolimus,HT29_LARGE_INTESTINE,6.83,synergy
MK-1775,ridaforolimus,HT29_LARGE_INTESTINE,5.95,synergy
MK-1775,ridaforolimus,HT29_LARGE_INTESTINE,8.42,synergy
MK-1775,ridaforolimus,HT29_LARGE_INTESTINE,5.74,synergy
MK-1775,Y0217,HT29_LARGE_INTESTINE,26.66,synergy
MK-1775,Y0217,HT29_LARGE_INTESTINE,31.89,synergy
MK-1775,Y0217,HT29_LARGE_INTESTINE,29.65,synergy
MK-1775,Y0217,HT29_LARGE_INTESTINE,29.6,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,15.38,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,15.1,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,13.06,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,6.53,synergy
NVP-BEZ235,Y0217,HT29_LARGE_INTESTINE,11.32,synergy
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,6.67,synergy
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,6.38,synergy
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,8.38,synergy
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,8.73,synergy
L-778123,veliparib,HT29_LARGE_INTESTINE,5.76,synergy
L-778123,veliparib,HT29_LARGE_INTESTINE,9.52,synergy
L-778123,veliparib,HT29_LARGE_INTESTINE,6.36,synergy
L-778123,MK-1775,HT29_LARGE_INTESTINE,22.53,synergy
L-778123,MK-1775,HT29_LARGE_INTESTINE,13.59,synergy
L-778123,MK-1775,HT29_LARGE_INTESTINE,14.81,synergy
L-778123,MK-1775,HT29_LARGE_INTESTINE,12.8,synergy
L-778123,NVP-BEZ235,HT29_LARGE_INTESTINE,9.35,synergy
L-778123,NVP-BEZ235,HT29_LARGE_INTESTINE,11.4,synergy
L-778123,NVP-BEZ235,HT29_LARGE_INTESTINE,11.51,synergy
L-778123,NVP-BEZ235,HT29_LARGE_INTESTINE,13.25,synergy
L-778123,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,7.41,synergy
L-778123,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,11.07,synergy
L-778123,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,9.25,synergy
L-778123,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,10.7,synergy
L-778123,niraparib,HT29_LARGE_INTESTINE,10.97,synergy
L-778123,niraparib,HT29_LARGE_INTESTINE,11.71,synergy
L-778123,niraparib,HT29_LARGE_INTESTINE,7.85,synergy
L-778123,niraparib,HT29_LARGE_INTESTINE,7.68,synergy
L-778123,MK-5108,HT29_LARGE_INTESTINE,13.28,synergy
L-778123,MK-5108,HT29_LARGE_INTESTINE,13.77,synergy
L-778123,MK-5108,HT29_LARGE_INTESTINE,11.18,synergy
L-778123,MK-5108,HT29_LARGE_INTESTINE,14.18,synergy
L-778123,ridaforolimus,HT29_LARGE_INTESTINE,9.82,synergy
L-778123,ridaforolimus,HT29_LARGE_INTESTINE,14.03,synergy
L-778123,ridaforolimus,HT29_LARGE_INTESTINE,14.2,synergy
L-778123,ridaforolimus,HT29_LARGE_INTESTINE,13.2,synergy
L-778123,Y0217,HT29_LARGE_INTESTINE,8.56,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,5.68,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,7.21,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,8.13,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,6.3,synergy
MK-2206 dihydrochloride,veliparib,HT29_LARGE_INTESTINE,6.73,synergy
MK-2206 dihydrochloride,veliparib,HT29_LARGE_INTESTINE,8.85,synergy
MK-2206 dihydrochloride,NVP-BEZ235,HT29_LARGE_INTESTINE,9.72,synergy
MK-2206 dihydrochloride,NVP-BEZ235,HT29_LARGE_INTESTINE,6.56,synergy
MK-2206 dihydrochloride,NVP-BEZ235,HT29_LARGE_INTESTINE,7.24,synergy
MK-2206 dihydrochloride,ridaforolimus,HT29_LARGE_INTESTINE,5.68,synergy
MK-2206 dihydrochloride,ridaforolimus,HT29_LARGE_INTESTINE,9.6,synergy
MK-2206 dihydrochloride,ridaforolimus,HT29_LARGE_INTESTINE,11.02,synergy
MK-2206 dihydrochloride,Y0217,HT29_LARGE_INTESTINE,6.39,synergy
MK-2206 dihydrochloride,Y0217,HT29_LARGE_INTESTINE,7.93,synergy
MK-2206 dihydrochloride,Y0217,HT29_LARGE_INTESTINE,5.38,synergy
MK-2206 dihydrochloride,Y0217,HT29_LARGE_INTESTINE,5.39,synergy
MK-2206 dihydrochloride,PD 0325901,HT29_LARGE_INTESTINE,5.41,synergy
MK-2206 dihydrochloride,PD 0325901,HT29_LARGE_INTESTINE,5.22,synergy
MK-2206 dihydrochloride,7-ethyl-10-hydroxycamptothecin,HT29_LARGE_INTESTINE,7.67,synergy
SCHEMBL14184849,5-fluorouracil,HT29_LARGE_INTESTINE,6.71,synergy
SCHEMBL14184849,5-fluorouracil,HT29_LARGE_INTESTINE,7.39,synergy
SCHEMBL14184849,5-fluorouracil,HT29_LARGE_INTESTINE,7.9,synergy
SCHEMBL14184849,MK-1775,HT29_LARGE_INTESTINE,9.13,synergy
SCHEMBL14184849,NVP-BEZ235,HT29_LARGE_INTESTINE,8.41,synergy
SCHEMBL14184849,NVP-BEZ235,HT29_LARGE_INTESTINE,7.86,synergy
SCHEMBL14184849,L-778123,HT29_LARGE_INTESTINE,9.08,synergy
SCHEMBL14184849,L-778123,HT29_LARGE_INTESTINE,5.43,synergy
SCHEMBL14184849,L-778123,HT29_LARGE_INTESTINE,5.27,synergy
SCHEMBL14184849,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,10.58,synergy
SCHEMBL14184849,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,11.81,synergy
SCHEMBL14184849,MK-2206 dihydrochloride,HT29_LARGE_INTESTINE,15.77,synergy
SCHEMBL14184849,niraparib,HT29_LARGE_INTESTINE,6.16,synergy
